tech,zone,unit,value
Coal,Cambodia,fraction,675.0
Coal,Laos,fraction,1978.0
Coal,Myanmar,fraction,120.0
Coal,Thailand,fraction,6114.0
Coal,Vietnam,fraction,21554.0
Oil,Cambodia,fraction,644.0
Oil,Laos,fraction,0.0
Oil,Myanmar,fraction,25.0
Oil,Thailand,fraction,369.0
Oil,Vietnam,fraction,1706.0
Gas,Cambodia,fraction,0.0
Gas,Laos,fraction,0.0
Gas,Myanmar,fraction,3341.0
Gas,Thailand,fraction,27920.0
Gas,Vietnam,fraction,7152.0
Hydro,Cambodia,fraction,400.0
Hydro,Laos,fraction,7295.3
Hydro,Myanmar,fraction,0.0
Hydro,Thailand,fraction,662.38
Hydro,Vietnam,fraction,2281.0
Solar,Cambodia,fraction,237.0
Solar,Laos,fraction,0.0
Solar,Myanmar,fraction,180.0
Solar,Thailand,fraction,2856.0
Solar,Vietnam,fraction,16656.0
Wind,Cambodia,fraction,0.0
Wind,Laos,fraction,0.0
Wind,Myanmar,fraction,0.0
Wind,Thailand,fraction,1486.0
Wind,Vietnam,fraction,582.0
Bioenergy,Cambodia,fraction,31.0
Bioenergy,Laos,fraction,0.0
Bioenergy,Myanmar,fraction,0.0
Bioenergy,Thailand,fraction,2213.0
Bioenergy,Vietnam,fraction,365.0
HPS,Cambodia,fraction,0.0
HPS,Laos,fraction,0.0
HPS,Myanmar,fraction,0.0
HPS,Thailand,fraction,0.0
HPS,Vietnam,fraction,0.0
Li-ion,Cambodia,fraction,0.0
Li-ion,Laos,fraction,0.0
Li-ion,Myanmar,fraction,0.0
Li-ion,Thailand,fraction,0.0
Li-ion,Vietnam,fraction,0.0
